Id,SalePrice
1461,117026.287630843
1462,158810.30320785253
1463,166250.2184214004
1464,195115.5061193512
1465,183437.41604709465
1466,171611.3179446846
1467,187896.19042985074
1468,165338.80154116044
1469,187689.83828040032
1470,116692.19638467461
1471,185905.3105567516
1472,108099.26997142125
1473,100406.10909028088
1474,150311.49646143967
1475,119067.96318587908
1476,349948.96789127286
1477,237726.6600820137
1478,290214.422147069
1479,275638.5204239022
1480,478986.69410457293
1481,293842.10663687275
1482,201280.65410402525
1483,174058.1790850821
1484,165449.62618522413
1485,195591.58676461363
1486,198625.2355483758
1487,309430.6958206267
1488,238307.10198930776
1489,183216.1023130624
1490,230203.94624550059
1491,196104.4329787691
1492,91363.63421278256
1493,195164.6604195459
1494,292421.8711124617
1495,272299.42373770016
1496,225043.6489959692
1497,170150.098476905
1498,162060.58503100407
1499,157064.59338989138
1500,159037.07988534344
1501,167896.740635025
1502,155976.99922225525
1503,284954.7767848572
1504,248233.16804901054
1505,225140.74199348455
1506,197382.5621153868
1507,239622.91773777152
1508,191997.8909218317
1509,154598.5147758911
1510,136467.20082687397
1511,146138.8431812076
1512,175066.76463447078
1513,150186.18316010645
1514,142613.718735105
1515,184570.34741993016
1516,148484.12682591146
1517,162711.36760764848
1518,133686.03098932878
1519,204936.6238805017
1520,126713.42171744118
1521,121885.43277515985
1522,180446.10074710438
1523,103285.27061044735
1524,122029.59285037263
1525,110107.51112153199
1526,101363.76067178577
1527,101495.00751605422
1528,149558.5311736279
1529,141794.62528868252
1530,201931.48178419244
1531,114729.58328065289
1532,108416.76230677408
1533,167244.24392235294
1534,131107.9680744927
1535,145653.43678520387
1536,112850.11433964409
1537,55943.59002607311
1538,140837.69778027627
1539,196982.27713852198
1540,86203.80669566992
1541,134122.96341948077
1542,133315.46969531043
1543,165678.35968672147
1544,89918.26820558899
1545,104265.52412735144
1546,136283.15378505574
1547,130251.05765919693
1548,129232.42424417539
1549,115146.52815879579
1550,123375.84313773463
1551,120416.79725097411
1552,132084.03337047924
1553,139949.26971113787
1554,125868.7519052459
1555,153542.65095722605
1556,89809.51977980582
1557,90575.96293203197
1558,104996.88463273906
1559,72833.4841658932
1560,133239.13512435337
1561,117639.06905789424
1562,137475.27420779885
1563,117363.0142699951
1564,158632.71197216574
1565,132400.81846134525
1566,232379.89585324723
1567,78801.01148653863
1568,232330.70605571076
1569,122912.41261197573
1570,148668.6008932403
1571,117174.2610162817
1572,144373.98920119964
1573,231033.32732155512
1574,111845.95210640256
1575,217697.0165111093
1576,248717.82004095678
1577,179945.5630701856
1578,135839.76952217426
1579,129826.20941533054
1580,198026.27374625398
1581,160366.1797508429
1582,126963.93258511822
1583,294497.47785495344
1584,223537.73799856944
1585,143016.76606402794
1586,71080.93367183063
1587,100280.09389861781
1588,145314.00004569086
1589,91776.21383591712
1590,140106.0979287573
1591,90477.06339942226
1592,119151.28745383094
1593,134277.71600438247
1594,125795.72963315951
1595,98884.66827779639
1596,197727.76551134512
1597,159817.9377120028
1598,195801.18311033625
1599,177228.22255245227
1600,172173.54267194786
1601,67758.01717079863
1602,116387.09088496599
1603,78046.26940481615
1604,250686.5958519905
1605,247534.6365811467
1606,169518.7507593937
1607,184639.08969648636
1608,226929.18408096718
1609,183225.80534383317
1610,149012.30811369195
1611,135244.5313728043
1612,170538.92276954214
1613,168567.84520443328
1614,139382.81748880266
1615,99398.15431007049
1616,82594.83637762543
1617,97716.92040092168
1618,123434.09487533466
1619,145372.6978156192
1620,149213.140906685
1621,129603.26028033737
1622,151666.54731813777
1623,260922.06082389917
1624,203117.24735935757
1625,114876.1817981818
1626,174169.66601913562
1627,188798.2735347229
1628,275265.37233966874
1629,170998.59285360645
1630,315256.614896027
1631,214246.08718011493
1632,217090.10295790227
1633,179647.90908951795
1634,187373.9645253497
1635,184428.40073628805
1636,160143.97071444258
1637,195101.0691032488
1638,191169.18905030715
1639,185008.33006976993
1640,262662.9269849644
1641,179808.1199472904
1642,236964.2523586927
1643,231210.77046544926
1644,225242.97875587188
1645,239987.40839070425
1646,168541.13764841063
1647,165456.66815225518
1648,132644.11419947486
1649,148273.1834863003
1650,110218.99202761584
1651,121457.63963286471
1652,111206.82574554873
1653,113250.44821820056
1654,143591.54766929263
1655,144723.7927374425
1656,140766.90875084163
1657,144843.18168063922
1658,145304.3435276413
1659,123696.44024513384
1660,149537.530917504
1661,453645.76579087926
1662,358523.799708117
1663,356792.47818054544
1664,499196.4897984282
1665,299091.73833310785
1666,301877.47525950614
1667,353562.0591244481
1668,338278.30749559274
1669,295499.89744560275
1670,335380.060186641
1671,253847.12826271076
1672,419517.3590884895
1673,286121.2860460012
1674,240825.05652944712
1675,184934.98283664696
1676,188139.31174284342
1677,202414.99054628142
1678,418912.84165485675
1679,354438.0385114171
1680,300852.8781739338
1681,235635.13702616582
1682,285133.01222899643
1683,182834.50210613708
1684,189590.30089119356
1685,181911.9250517042
1686,173147.60239021984
1687,180129.23564562039
1688,196634.33643731798
1689,200462.13370565086
1690,211088.06490370855
1691,202578.45020501703
1692,264598.4605767525
1693,178130.78006043957
1694,186371.10184921254
1695,169723.68183956534
1696,280164.89112951123
1697,178951.59155546667
1698,332762.2428020356
1699,343603.8765335136
1700,240348.3400985393
1701,265127.25182702276
1702,246725.47722548404
1703,250741.81385898712
1704,273340.44292357465
1705,244494.93991083684
1706,387401.1501309495
1707,206353.00789607054
1708,202647.70729014868
1709,273996.2641270812
1710,220947.21678005534
1711,272445.4895675408
1712,260232.52540592928
1713,271956.6485795068
1714,216927.8552675702
1715,206574.63693059966
1716,181799.40577475214
1717,182356.5882707716
1718,134184.02676158922
1719,201865.04810035875
1720,257059.95243515781
